Date,Mean,Min,Max,Meandiff,Mindiff,Maxdiff
2018-05-13,112.38399999999999,109.37,114.29,0.03838122516862197,0.019861991794106748,0.050652693509836366
2018-05-20,112.87199999999999,111.13,113.9,0.004342255125284744,0.016092164213221016,-0.0034123720360486054
2018-05-27,111.90800000000002,110.66,113.01,-0.008540647813452096,-0.0042292810222261945,-0.007813871817383689
2018-06-03,107.42250000000001,105.93,108.4,-0.04008203166887092,-0.04274353876739556,-0.0407928501902487
2018-06-10,109.71200000000002,107.84,111.11,0.02131303963322395,0.01803077504012074,0.02499999999999991
2018-06-17,109.38399999999999,107.9,110.83,-0.002989645617617276,0.0005563798219585525,-0.002520025200251963
2018-06-24,107.306,105.75,108.18,-0.018997293936955928,-0.019925857275254866,-0.023910493548678025
2018-07-01,104.404,103.24,104.93,-0.027044154101354967,-0.023735224586288517,-0.030042521723054216
2018-07-08,104.11749999999999,103.61,105.08,-0.0027441477338033815,0.003583882216195322,0.00142952444486788
2018-07-15,106.7,106.36,107.28,0.024803707349869253,0.026541839590773053,0.020936429387133693
2018-07-22,110.756,109.89,111.53,0.038013120899718755,0.03318916886047396,0.03961595824011921
2018-07-29,114.71199999999999,113.35,116.03,0.03571815522409616,0.03148603148603146,0.04034788846050397
2018-08-05,116.11600000000001,114.95,117.09,0.012239347234814346,0.014115571239523783,0.009135568387486082
2018-08-12,117.01400000000001,115.73,117.79,0.0077336456646801555,0.006785558938668945,0.0059783072849943775
2018-08-19,114.356,113.7,114.77,-0.02271523065616088,-0.017540827788818825,-0.0256388487987097
2018-08-26,114.86399999999999,114.62,115.32,0.004442268005176775,0.008091468777484678,0.0047921930818157765
2018-09-02,115.676,114.58,116.71,0.0070692296977294955,-0.0003489792357355137,0.012053416579951515
2018-09-09,114.54,114.1,115.15,-0.009820533213458216,-0.0041892127770990495,-0.013366463884842639
2018-09-16,113.648,113.08,114.43,-0.0077876724288459265,-0.008939526730937786,-0.00625271385149806
2018-09-23,116.44800000000001,113.84,118.63,0.024637477122342766,0.006720905553590395,0.03670366162719563
2018-09-30,115.098,112.84,116.72,-0.011593157460840997,-0.008784258608573459,-0.016100480485543245
2018-10-07,114.47999999999999,113.5,115.27,-0.00536933743418655,0.005848989719957398,-0.012422892392049412
2018-10-14,111.27799999999999,106.95,115.32,-0.027969951083158584,-0.057709251101321524,0.0004337642057776758
2018-10-21,108.15799999999999,106.34,109.83,-0.028037887093585456,-0.005703599812996729,-0.04760665972944844
2018-10-28,104.63600000000001,103.29,106.36,-0.03256347195769127,-0.028681587361293892,-0.031594282072293534
2018-11-04,107.58600000000001,104.85,109.02,0.02819297373752816,0.015103107754864897,0.02500940203083868
2018-11-11,110.768,109.09,112.38,0.029576338928856805,0.04043872198378651,0.030820033021463855
2018-11-18,109.18599999999999,107.33,110.07,-0.014282103134479307,-0.016133467778898236,-0.020555258942872467
2018-11-25,108.39250000000001,106.65,110.83,-0.0072674152363854105,-0.006335600484487003,0.006904697010992944
2018-12-02,110.23400000000001,109.26,111.19,0.01698918283091544,0.024472573839662504,0.0032482179915185316
2018-12-09,106.9875,103.29,112.24,-0.029450986084148423,-0.054640307523338816,0.009443295260365137
2018-12-16,100.83200000000001,100.29,101.36,-0.05753475873349678,-0.029044437990124905,-0.09693513898788308
2018-12-23,97.09200000000001,94.17,99.01,-0.037091399555696514,-0.061023033203709276,-0.0231846882399368
