Date,Open,High,Low,Close,Adj Close,Volume
2016-06-06,64.64,65.76,64.6,65.28,60.16,13193500
2016-06-07,65.45,65.74,65.04,65.06,59.96,9924100
2016-06-08,64.93,65.48,64.92,65.25,60.13,9428000
2016-06-09,64.79,64.9,64.27,64.75,59.67,10817800
2016-06-10,63.93,64.07,63.58,63.84,58.83,16678400
2016-06-13,63.48,64.34,63.26,63.27,58.31,14382800
2016-06-14,62.68,63.47,61.68,62.08,57.21,19509300
2016-06-15,62.41,62.98,61.91,61.97,57.11,16982100
2016-06-16,61.45,62.3,60.9,62.22,57.34,16791200
2016-06-17,62.3,62.71,61.93,62.28,57.4,15751500
2016-06-20,63.45,63.85,62.34,62.37,57.48,12213200
2016-06-21,62.73,63.0,62.14,62.95,58.01,11611600
2016-06-22,62.95,63.71,62.68,62.71,57.79,12643500
2016-06-23,63.7,64.15,63.53,64.05,59.03,16583600
2016-06-24,60.48,61.7,59.34,59.6,54.93,44108700
2016-06-27,58.71,58.75,57.05,57.61,53.09,37300700
2016-06-28,59.19,59.55,58.26,59.52,54.85,29088700
2016-06-29,60.36,61.21,60.0,61.2,56.4,21483000
2016-06-30,61.63,62.19,61.02,62.14,57.27,21343600
2016-07-01,61.66,62.01,61.16,61.26,56.9,14217800
2016-07-05,60.45,60.6,59.1,59.55,55.31,23357700
2016-07-06,59.01,60.29,58.76,60.19,55.9,20429800
2016-07-07,60.52,61.14,60.16,60.58,56.26,13766700
2016-07-08,61.33,62.17,61.33,61.83,57.42,16998800
2016-07-11,62.42,62.95,62.14,62.27,57.83,13151400
2016-07-12,63.03,63.56,62.89,63.2,58.7,16588100
2016-07-13,63.08,63.43,62.64,63.16,58.66,18526900
2016-07-14,64.74,64.98,64.05,64.12,59.55,28985900
2016-07-15,64.75,64.8,63.61,64.18,59.61,17607100
2016-07-18,64.13,64.4,63.9,63.96,59.4,10824400
2016-07-19,63.61,64.1,63.46,63.86,59.31,9737400
2016-07-20,64.11,64.23,63.71,63.93,59.38,10411100
2016-07-21,64.0,64.18,63.63,63.69,59.15,9808700
2016-07-22,63.9,64.09,63.6,64.04,59.48,8195700
2016-07-25,63.98,64.17,63.68,63.87,59.32,8168300
2016-07-26,63.98,64.26,63.71,64.13,59.56,8067800
2016-07-27,64.08,64.69,64.06,64.33,59.75,11730900
2016-07-28,64.0,64.19,63.72,64.1,59.53,10013400
2016-07-29,63.8,64.29,63.75,63.97,59.41,13210400
2016-08-01,64.15,64.31,63.61,63.8,59.25,11422600
2016-08-02,63.59,64.01,63.38,63.65,59.12,13550000
2016-08-03,63.69,64.67,63.65,64.66,60.05,13122300
2016-08-04,64.49,64.82,64.27,64.56,59.96,9865900
2016-08-05,65.14,66.37,65.07,66.3,61.58,20752700
2016-08-08,66.07,66.49,65.84,66.1,61.39,11359200
2016-08-09,66.18,66.28,65.69,65.87,61.18,10097000
2016-08-10,65.92,66.07,65.16,65.28,60.63,11556100
2016-08-11,65.27,65.69,65.02,65.46,60.8,8773500
2016-08-12,64.97,65.35,64.86,65.32,60.67,7685400
2016-08-15,65.56,65.83,65.46,65.72,61.04,8371600
2016-08-16,65.36,65.96,65.24,65.71,61.03,10128900
2016-08-17,65.8,65.98,65.54,65.89,61.2,11868100
2016-08-18,65.62,65.99,65.53,65.95,61.25,9313600
2016-08-19,65.72,65.91,65.22,65.86,61.17,9084900
2016-08-22,65.75,65.88,65.41,65.8,61.11,9055600
2016-08-23,66.07,66.34,65.76,65.77,61.08,8949600
2016-08-24,65.99,66.23,65.77,65.95,61.25,10167200
2016-08-25,65.91,66.14,65.79,66.07,61.36,9978700
2016-08-26,66.33,66.88,65.85,66.22,61.5,14038600
2016-08-29,66.49,67.1,66.46,66.95,62.18,13332500
2016-08-30,66.95,67.6,66.95,67.5,62.69,13791200
2016-08-31,67.46,67.77,66.86,67.5,62.69,14952300
2016-09-01,67.64,67.72,66.65,67.21,62.42,12226500
2016-09-02,67.4,67.58,66.98,67.49,62.68,13720700
2016-09-06,67.5,67.55,66.71,67.44,62.64,16649400
2016-09-07,67.16,67.59,66.96,67.16,62.38,10070400
2016-09-08,67.22,67.68,67.0,67.25,62.46,11789100
2016-09-09,67.03,67.43,66.64,66.65,61.9,19686900
2016-09-12,66.14,67.3,65.76,67.06,62.28,16453000
2016-09-13,66.11,66.86,65.82,66.53,61.79,18876100
